tier,eval_set,rule,threshold,coverage,risk
tier1,benchmark45,lac,-0.185498,0.511111,0.608696
tier1,benchmark45,lac,-0.185553,0.533333,0.625
tier1,benchmark45,lac,-0.185685,0.555556,0.64
tier1,benchmark45,lac,-0.190731,0.577778,0.653846
tier1,benchmark45,lac,-0.191402,0.6,0.666667
tier1,benchmark45,lac,-0.191534,0.622222,0.678571
tier1,benchmark45,lac,-0.196361,0.644444,0.689655
tier1,benchmark45,lac,-0.19678,0.666667,0.7
tier1,benchmark45,lac,-0.198593,0.688889,0.677419
tier1,benchmark45,lac,-0.204862,0.711111,0.6875
tier1,benchmark45,lac,-0.212421,0.733333,0.666667
tier1,benchmark45,lac,-0.215572,0.755556,0.676471
tier1,benchmark45,lac,-0.215615,0.777778,0.685714
tier1,benchmark45,lac,-0.219383,0.8,0.694444
tier1,benchmark45,lac,-0.219506,0.822222,0.675676
tier1,benchmark45,lac,-0.224112,0.844444,0.657895
tier1,benchmark45,lac,-0.224338,0.866667,0.641026
tier1,benchmark45,lac,-0.229633,0.888889,0.65
tier1,benchmark45,lac,-0.230048,0.911111,0.634146
tier1,benchmark45,lac,-0.243252,0.933333,0.642857
tier1,benchmark45,lac,-0.255208,0.955556,0.651163
tier1,benchmark45,lac,-0.259618,0.977778,0.636364
tier1,benchmark45,lac,-0.264758,1.0,0.644444
tier1,benchmark45,margin,0.916378,0.022222,0.0
tier1,benchmark45,margin,0.714774,0.044444,0.5
tier1,benchmark45,margin,0.674327,0.066667,0.333333
tier1,benchmark45,margin,0.443676,0.088889,0.5
tier1,benchmark45,margin,0.327351,0.111111,0.4
tier1,benchmark45,margin,0.310527,0.133333,0.5
tier1,benchmark45,margin,0.301474,0.155556,0.428571
tier1,benchmark45,margin,0.295957,0.177778,0.5
tier1,benchmark45,margin,0.292124,0.2,0.444444
tier1,benchmark45,margin,0.278621,0.222222,0.4
tier1,benchmark45,margin,0.273523,0.244444,0.363636
tier1,benchmark45,margin,0.262232,0.266667,0.416667
tier1,benchmark45,margin,0.245447,0.288889,0.384615
tier1,benchmark45,margin,0.166854,0.311111,0.428571
tier1,benchmark45,margin,0.157898,0.333333,0.466667
tier1,benchmark45,margin,0.132875,0.355556,0.5
tier1,benchmark45,margin,0.132134,0.377778,0.529412
tier1,benchmark45,margin,0.129381,0.4,0.555556
tier1,benchmark45,margin,0.124594,0.422222,0.578947
tier1,benchmark45,margin,0.114233,0.444444,0.6
tier1,benchmark45,margin,0.109394,0.466667,0.619048
tier1,benchmark45,margin,0.094691,0.488889,0.590909
tier1,benchmark45,margin,0.079116,0.511111,0.608696
tier1,benchmark45,margin,0.069788,0.533333,0.625
tier1,benchmark45,margin,0.068985,0.555556,0.64
tier1,benchmark45,margin,0.050034,0.577778,0.653846
tier1,benchmark45,margin,0.046672,0.6,0.666667
tier1,benchmark45,margin,0.042295,0.622222,0.642857
tier1,benchmark45,margin,0.042214,0.644444,0.655172
tier1,benchmark45,margin,0.037935,0.666667,0.633333
tier1,benchmark45,margin,0.037592,0.688889,0.612903
tier1,benchmark45,margin,0.036342,0.711111,0.625
tier1,benchmark45,margin,0.029788,0.733333,0.606061
tier1,benchmark45,margin,0.02723,0.755556,0.588235
tier1,benchmark45,margin,0.027213,0.777778,0.6
tier1,benchmark45,margin,0.024349,0.8,0.611111
tier1,benchmark45,margin,0.023459,0.822222,0.594595
tier1,benchmark45,margin,0.021614,0.844444,0.578947
tier1,benchmark45,margin,0.020653,0.866667,0.589744
tier1,benchmark45,margin,0.020373,0.888889,0.6
tier1,benchmark45,margin,0.012739,0.911111,0.609756
tier1,benchmark45,margin,0.011557,0.933333,0.619048
tier1,benchmark45,margin,0.010038,0.955556,0.627907
tier1,benchmark45,margin,0.006214,0.977778,0.636364
tier1,benchmark45,margin,0.001936,1.0,0.644444
tier1,deployment175,aps,0.882248,0.005714,0.0
tier1,deployment175,aps,0.85376,0.011429,0.0
tier1,deployment175,aps,0.84619,0.017143,0.0
tier1,deployment175,aps,0.822172,0.022857,0.0
tier1,deployment175,aps,0.821209,0.028571,0.0
tier1,deployment175,aps,0.804278,0.034286,0.0
tier1,deployment175,aps,0.792413,0.04,0.0
tier1,deployment175,aps,0.785343,0.045714,0.0
tier1,deployment175,aps,0.782213,0.051429,0.0
tier1,deployment175,aps,0.775606,0.057143,0.0
tier1,deployment175,aps,0.770066,0.062857,0.0
