arm,tier,alpha,n_calibration,n_test,degenerate,coverage,coverage_gap,calibration_sd,test_sampling_sd,combined_sd,combined_band_2sd,gap_outside_combined_band,calibration_only_band_2sd,mean_set_size,singleton_rate,empty_rate,score_function,post_hoc
original,tier1,0.05,1327,286,False,0.9545454545454546,0.00454545454545463,0.005982894481376267,0.012887354890896582,0.01420841097586914,0.02841682195173828,False,0.011965788962752534,6.4475524475524475,0.01048951048951049,0.0,lac,False
paraphrased,tier1,0.05,1327,286,False,0.9545454545454546,0.00454545454545463,0.005982894481376267,0.012887354890896582,0.01420841097586914,0.02841682195173828,False,0.011965788962752534,6.856643356643357,0.0,0.0,lac,False
original,tier2,0.05,1327,286,False,0.9545454545454546,0.00454545454545463,0.005982894481376267,0.012887354890896582,0.01420841097586914,0.02841682195173828,False,0.011965788962752534,6.653846153846154,0.0034965034965034965,0.0,lac,False
paraphrased,tier2,0.05,1327,286,False,0.9545454545454546,0.00454545454545463,0.005982894481376267,0.012887354890896582,0.01420841097586914,0.02841682195173828,False,0.011965788962752534,6.744755244755245,0.0,0.0,lac,False
original,tier1,0.1,1327,286,False,0.8951048951048951,-0.004895104895104918,0.008235420768690422,0.01773937187967248,0.019557798186981386,0.03911559637396277,False,0.016470841537380845,4.975524475524476,0.02097902097902098,0.0,lac,False
paraphrased,tier1,0.1,1327,286,False,0.8741258741258742,-0.025874125874125853,0.008235420768690422,0.01773937187967248,0.019557798186981386,0.03911559637396277,False,0.016470841537380845,4.919580419580419,0.0,0.0,lac,False
original,tier2,0.1,1327,286,False,0.8951048951048951,-0.004895104895104918,0.008235420768690422,0.01773937187967248,0.019557798186981386,0.03911559637396277,False,0.016470841537380845,4.835664335664336,0.02097902097902098,0.0,lac,False
paraphrased,tier2,0.1,1327,286,False,0.8951048951048951,-0.004895104895104918,0.008235420768690422,0.01773937187967248,0.019557798186981386,0.03911559637396277,False,0.016470841537380845,4.979020979020979,0.006993006993006993,0.0,lac,False
original,tier1,0.2,1327,286,False,0.8006993006993007,0.0006993006993006867,0.010980561024920564,0.023652495839563307,0.026077064249308512,0.052154128498617024,False,0.021961122049841127,3.5244755244755246,0.04195804195804196,0.0,lac,False
paraphrased,tier1,0.2,1327,286,False,0.7482517482517482,-0.05174825174825182,0.010980561024920564,0.023652495839563307,0.026077064249308512,0.052154128498617024,False,0.021961122049841127,3.6433566433566433,0.0,0.0,lac,False
original,tier2,0.2,1327,286,False,0.8111888111888111,0.011188811188811099,0.010980561024920564,0.023652495839563307,0.026077064249308512,0.052154128498617024,False,0.021961122049841127,3.5454545454545454,0.04195804195804196,0.0,lac,False
paraphrased,tier2,0.2,1327,286,False,0.7867132867132867,-0.01328671328671338,0.010980561024920564,0.023652495839563307,0.026077064249308512,0.052154128498617024,False,0.021961122049841127,3.5489510489510487,0.03146853146853147,0.0,lac,False
