alpha,n_calibration,n_test,quantile,degenerate,coverage_calibration,coverage_test,coverage_gap,coverage_sd,noise_band_2sd,gap_outside_band,gap_in_sd,mean_set_size,singleton_rate,empty_rate,full_rate,design,test_arm,tier,score_function,domain_auc_operating,post_hoc
0.05,1327,10441,0.966147584027489,False,0.9510173323285607,0.9479934872138684,-0.002006512786131509,0.005982894481376267,0.011965788962752534,False,-0.33537492469196006,6.549947323053347,0.003926826932286179,0.0,0.0,A,full,tier1,lac,0.8471736293799147,False
0.1,1327,10441,0.9500744997322688,False,0.9012810851544838,0.9008715640264342,0.0008715640264341795,0.008235420768690422,0.016470841537380845,False,0.1058311470553767,5.037448520256681,0.007470548798007854,0.0,0.0,A,full,tier1,lac,0.8471736293799147,False
0.2,1327,10441,0.8999244068994514,False,0.8010550113036925,0.7779906139258692,-0.022009386074130832,0.010980561024920564,0.021961122049841127,True,-2.004395406043477,3.4871180921367686,0.02432717172684609,0.0,0.0,A,full,tier1,lac,0.8471736293799147,False
0.05,1327,10441,0.9722630959004164,False,0.9510173323285607,0.954506273345465,0.0045062733454650505,0.005982894481376267,0.011965788962752534,False,0.7531928499645637,6.6745522459534525,0.0034479455990805478,0.0,9.577626664112633e-05,A,full,tier2,lac,0.8471736293799147,False
0.1,1327,10441,0.9481564499437809,False,0.9012810851544838,0.8928263576285796,-0.0071736423714203745,0.008235420768690422,0.016470841537380845,False,-0.8710717488404798,4.874916195766689,0.018197490661814003,0.0,0.0,A,full,tier2,lac,0.8471736293799147,False
0.2,1327,10441,0.9007355570793152,False,0.8010550113036925,0.790728857389139,-0.009271142610861038,0.010980561024920564,0.021961122049841127,False,-0.84432321716714,3.5306005171918398,0.03898094052293841,0.0,0.0,A,full,tier2,lac,0.8471736293799147,False
0.05,1327,10289,0.966147584027489,False,0.9510173323285607,0.9480027213529012,-0.0019972786470987547,0.005982894481376267,0.011965788962752534,False,-0.3338315013436963,6.539896977354457,0.003984838176693557,0.0,0.0,A,no_neighbour,tier1,lac,0.8471736293799147,False
0.1,1327,10289,0.9500744997322688,False,0.9012810851544838,0.9011565749829915,0.0011565749829914873,0.008235420768690422,0.016470841537380845,False,0.14043908811418304,5.028865778987268,0.007580911653221887,0.0,0.0,A,no_neighbour,tier1,lac,0.8471736293799147,False
0.2,1327,10289,0.8999244068994514,False,0.8010550113036925,0.7790844591311109,-0.020915540868889138,0.010980561024920564,0.021961122049841127,False,-1.9047788925739746,3.4817766546797553,0.024686558460491788,0.0,0.0,A,no_neighbour,tier1,lac,0.8471736293799147,False
0.05,1327,10289,0.9722630959004164,False,0.9510173323285607,0.95461172125571,0.004611721255710077,0.005982894481376267,0.011965788962752534,False,0.7708177488447409,6.663135387306832,0.003498882301487025,0.0,9.719117504130625e-05,A,no_neighbour,tier2,lac,0.8471736293799147,False
0.1,1327,10289,0.9481564499437809,False,0.9012810851544838,0.8937700456798523,-0.006229954320147724,0.008235420768690422,0.016470841537380845,False,-0.7564828191697116,4.865098649042667,0.018466323257848187,0.0,0.0,A,no_neighbour,tier2,lac,0.8471736293799147,False
0.2,1327,10289,0.9007355570793152,False,0.8010550113036925,0.7917193118864807,-0.008280688113519341,0.010980561024920564,0.021961122049841127,False,-0.7541224983610749,3.5227913305471863,0.039556808241811646,0.0,0.0,A,no_neighbour,tier2,lac,0.8471736293799147,False
