tier,eval_set,score_function,contamination,alpha,quantile,singleton_rate,n_singleton,risk_among_singletons,mean_set_size,empty_set_rate
tier1,deployment175,aps,contaminated,0.1,0.792757,0.017143,3,0.000000,3.4000,0.017143
tier1,deployment175,aps,contaminated,0.2,0.670221,0.085714,15,0.133333,2.2857,0.068571
tier1,deployment175,lac,contaminated,0.01,0.955553,0.011429,2,0.000000,6.6457,0.000000
tier1,deployment175,lac,contaminated,0.05,0.914336,0.062857,11,0.090909,4.2743,0.000000
tier1,deployment175,lac,contaminated,0.1,0.889948,0.142857,25,0.120000,3.0571,0.000000
tier1,deployment175,lac,contaminated,0.2,0.866154,0.205714,36,0.194444,2.3943,0.000000
tier1,deployment175,aps,deployment,0.01,1.000000,0.000000,0,,7.0000,0.000000
tier1,deployment175,aps,deployment,0.05,0.919619,0.000000,0,,5.0571,0.000000
tier1,deployment175,aps,deployment,0.1,0.821908,0.017143,3,0.000000,3.7486,0.005714
tier1,deployment175,aps,deployment,0.2,0.732241,0.051429,9,0.000000,2.7771,0.028571
tier1,deployment175,lac,deployment,0.01,0.947007,0.022857,4,0.000000,6.2229,0.000000
tier1,deployment175,lac,deployment,0.05,0.916214,0.057143,10,0.100000,4.4400,0.000000
tier1,deployment175,lac,deployment,0.1,0.899810,0.102857,18,0.111111,3.4914,0.000000
tier1,deployment175,lac,deployment,0.2,0.862224,0.217143,38,0.210526,2.3200,0.000000
tier2,deployment175,aps,clean,0.01,1.000000,0.000000,0,,6.7200,0.000000
tier2,deployment175,aps,clean,0.05,0.956303,0.045714,8,0.000000,3.7543,0.022857
tier2,deployment175,aps,clean,0.1,0.929509,0.085714,15,0.000000,3.0229,0.062857
tier2,deployment175,aps,clean,0.2,0.877149,0.165714,29,0.206897,2.1543,0.137143
tier2,deployment175,lac,clean,0.01,0.977107,0.040000,7,0.000000,4.7886,0.000000
tier2,deployment175,lac,clean,0.05,0.925043,0.182857,32,0.000000,2.7200,0.000000
tier2,deployment175,lac,clean,0.1,0.847444,0.342857,60,0.050000,1.8686,0.000000
tier2,deployment175,lac,clean,0.2,0.705586,0.788571,138,0.224638,1.1200,0.045714
tier2,deployment175,aps,contaminated,0.01,1.000000,0.000000,0,,6.2171,0.000000
tier2,deployment175,aps,contaminated,0.05,0.958277,0.040000,7,0.000000,3.8057,0.022857
tier2,deployment175,aps,contaminated,0.1,0.931735,0.074286,13,0.000000,3.0857,0.062857
tier2,deployment175,aps,contaminated,0.2,0.878157,0.160000,28,0.214286,2.1600,0.137143
tier2,deployment175,lac,contaminated,0.01,0.977835,0.028571,5,0.000000,4.8686,0.000000
tier2,deployment175,lac,contaminated,0.05,0.926317,0.182857,32,0.000000,2.7371,0.000000
tier2,deployment175,lac,contaminated,0.1,0.845394,0.342857,60,0.050000,1.8686,0.000000
tier2,deployment175,lac,contaminated,0.2,0.703178,0.800000,140,0.221429,1.1086,0.045714
tier2,deployment175,aps,deployment,0.01,0.980145,0.017143,3,0.000000,4.6457,0.000000
tier2,deployment175,aps,deployment,0.05,0.951690,0.062857,11,0.000000,3.5429,0.034286
tier2,deployment175,aps,deployment,0.1,0.928836,0.085714,15,0.000000,3.0114,0.062857
tier2,deployment175,aps,deployment,0.2,0.892835,0.131429,23,0.130435,2.4000,0.120000
tier2,deployment175,lac,deployment,0.01,0.920878,0.188571,33,0.000000,2.6914,0.000000
tier2,deployment175,lac,deployment,0.05,0.857234,0.325714,57,0.052632,1.9943,0.000000
tier2,deployment175,lac,deployment,0.1,0.816827,0.451429,79,0.088608,1.6800,0.000000
tier2,deployment175,lac,deployment,0.2,0.724346,0.737143,129,0.186047,1.2400,0.011429
