contamination,tier,label_filter,score_function,mondrian,alpha,n_calibration,nominal_coverage,coverage_sd,quantile,degenerate,coverage_calibration,coverage_benchmark,mean_set_size,singleton_rate,empty_rate,full_rate,coverage_gap
contaminated,tier1,all,lac,False,0.2,175,0.8,0.03023715784073818,0.8661540571516,False,0.8057142857142857,0.6,2.688888888888889,0.08888888888888889,0.0,0.0,-0.20000000000000007
contaminated,tier1,all,lac,False,0.1,175,0.9,0.022677868380553634,0.8899476741209735,False,0.9085714285714286,0.6666666666666666,3.4,0.08888888888888889,0.0,0.022222222222222223,-0.2333333333333334
contaminated,tier1,all,lac,False,0.05,175,0.95,0.01647508942095828,0.9143356514192296,False,0.96,0.8444444444444444,5.0,0.06666666666666667,0.0,0.24444444444444444,-0.10555555555555551
contaminated,tier1,all,lac,False,0.01,175,0.99,0.0075213980463361045,0.9555531798676202,False,1.0,0.9777777777777777,6.666666666666667,0.022222222222222223,0.0,0.8888888888888888,-0.012222222222222245
contaminated,tier1,all,lac,True,0.2,175,0.8,0.03023715784073818,,False,0.84,0.6,2.2222222222222223,0.2,0.0,0.0,-0.20000000000000007
contaminated,tier1,all,lac,True,0.1,175,0.9,0.022677868380553634,,False,0.96,0.7777777777777778,3.8666666666666667,0.08888888888888889,0.0,0.022222222222222223,-0.12222222222222223
contaminated,tier1,all,lac,True,0.05,175,0.95,0.01647508942095828,,False,1.0,0.9111111111111111,4.977777777777778,0.044444444444444446,0.0,0.044444444444444446,-0.03888888888888886
contaminated,tier1,all,lac,True,0.01,175,0.99,0.0075213980463361045,,True,1.0,1.0,7.0,0.0,0.0,1.0,0.010000000000000009
contaminated,tier1,all,aps,False,0.2,175,0.8,0.03023715784073818,0.6702213344969238,False,0.8057142857142857,0.5111111111111111,2.577777777777778,0.022222222222222223,0.06666666666666667,0.0,-0.288888888888889
contaminated,tier1,all,aps,False,0.1,175,0.9,0.022677868380553634,0.7927571155538973,False,0.9085714285714286,0.7111111111111111,3.6666666666666665,0.044444444444444446,0.022222222222222223,0.0,-0.18888888888888888
