category,n_tickets,cliff_edge,precision_at_cliff,recall_at_cliff,f1_at_cliff,match_vs_pooled_0.80
Infrastructure,115,0.85,1.0000,1.0000,1.0000,DIFFERS FROM POOLED 0.80
Application,100,0.85,1.0000,0.9369,0.9674,DIFFERS FROM POOLED 0.80
Security,61,0.85,1.0000,0.9856,0.9928,DIFFERS FROM POOLED 0.80
Database,49,0.85,1.0000,0.8588,0.9241,DIFFERS FROM POOLED 0.80 [LOW-N]
Storage,53,0.85,1.0000,1.0000,1.0000,DIFFERS FROM POOLED 0.80 [LOW-N]
Network,74,0.85,1.0000,0.9744,0.9870,DIFFERS FROM POOLED 0.80
Access Management,48,0.90,1.0000,0.4052,0.5767,DIFFERS FROM POOLED 0.80 [LOW-N]
