contamination,alpha,n_calibration,false_escalation_rate_in_domain,ood_detection_rate_variants,ood_detection_rate_seeds,n_ood_seeds,adversarial_flagged,adversarial_total,min_attainable_p
clean,0.2,175,0.1942857142857142,1.0,1.0,15,9,9,0.0056818181818181
clean,0.1,175,0.0914285714285714,0.9777777777777776,1.0,15,9,9,0.0056818181818181
clean,0.05,175,0.04,0.9555555555555556,1.0,15,9,9,0.0056818181818181
clean,0.01,175,0.0,0.8444444444444444,0.9333333333333332,15,6,9,0.0056818181818181
contaminated,0.2,175,0.1942857142857142,1.0,1.0,15,9,9,0.0056818181818181
contaminated,0.1,175,0.0914285714285714,0.9777777777777776,1.0,15,9,9,0.0056818181818181
contaminated,0.05,175,0.04,0.9555555555555556,1.0,15,9,9,0.0056818181818181
contaminated,0.01,175,0.0,0.8666666666666667,0.9333333333333332,15,8,9,0.0056818181818181
