alpha,n_calibration,n_test,quantile,degenerate,coverage_calibration,coverage_test,coverage_gap,coverage_sd,noise_band_2sd,gap_outside_band,gap_in_sd,mean_set_size,singleton_rate,empty_rate,full_rate,design,test_arm,tier,score_function,domain_auc_operating,post_hoc
0.2,1327,10441,0.8999244068994514,False,0.8010550113036925,0.7779906139258692,-0.0220093860741308,0.0109805610249205,0.0219611220498411,True,-2.004395406043477,3.4871180921367686,0.024327171726846,0.0,0.0,A,full,tier1,lac,0.8471736293799147,False
0.1,1327,10441,0.9500744997322688,False,0.9012810851544838,0.9008715640264342,0.0008715640264341,0.0082354207686904,0.0164708415373808,False,0.1058311470553767,5.037448520256681,0.0074705487980078,0.0,0.0,A,full,tier1,lac,0.8471736293799147,False
0.05,1327,10441,0.966147584027489,False,0.9510173323285608,0.9479934872138684,-0.0020065127861315,0.0059828944813762,0.0119657889627525,False,-0.33537492469196,6.549947323053347,0.0039268269322861,0.0,0.0,A,full,tier1,lac,0.8471736293799147,False
0.2,1327,10441,0.9007355570793152,False,0.8010550113036925,0.790728857389139,-0.009271142610861,0.0109805610249205,0.0219611220498411,False,-0.84432321716714,3.53060051719184,0.0389809405229384,0.0,0.0,A,full,tier2,lac,0.8471736293799147,False
0.1,1327,10441,0.9481564499437808,False,0.9012810851544838,0.8928263576285796,-0.0071736423714203,0.0082354207686904,0.0164708415373808,False,-0.8710717488404798,4.874916195766689,0.018197490661814,0.0,0.0,A,full,tier2,lac,0.8471736293799147,False
0.05,1327,10441,0.9722630959004164,False,0.9510173323285608,0.954506273345465,0.004506273345465,0.0059828944813762,0.0119657889627525,False,0.7531928499645637,6.6745522459534525,0.0034479455990805,0.0,9.577626664112632e-05,A,full,tier2,lac,0.8471736293799147,False
0.2,1327,10289,0.8999244068994514,False,0.8010550113036925,0.7790844591311109,-0.0209155408688891,0.0109805610249205,0.0219611220498411,False,-1.9047788925739744,3.4817766546797557,0.0246865584604917,0.0,0.0,A,no_neighbour,tier1,lac,0.8471736293799147,False
0.1,1327,10289,0.9500744997322688,False,0.9012810851544838,0.9011565749829916,0.0011565749829914,0.0082354207686904,0.0164708415373808,False,0.140439088114183,5.028865778987268,0.0075809116532218,0.0,0.0,A,no_neighbour,tier1,lac,0.8471736293799147,False
0.05,1327,10289,0.966147584027489,False,0.9510173323285608,0.9480027213529012,-0.0019972786470987,0.0059828944813762,0.0119657889627525,False,-0.3338315013436963,6.539896977354457,0.0039848381766935,0.0,0.0,A,no_neighbour,tier1,lac,0.8471736293799147,False
0.2,1327,10289,0.9007355570793152,False,0.8010550113036925,0.7917193118864807,-0.0082806881135193,0.0109805610249205,0.0219611220498411,False,-0.7541224983610749,3.5227913305471863,0.0395568082418116,0.0,0.0,A,no_neighbour,tier2,lac,0.8471736293799147,False
0.1,1327,10289,0.9481564499437808,False,0.9012810851544838,0.8937700456798523,-0.0062299543201477,0.0082354207686904,0.0164708415373808,False,-0.7564828191697116,4.865098649042667,0.0184663232578481,0.0,0.0,A,no_neighbour,tier2,lac,0.8471736293799147,False
0.05,1327,10289,0.9722630959004164,False,0.9510173323285608,0.95461172125571,0.00461172125571,0.0059828944813762,0.0119657889627525,False,0.7708177488447409,6.663135387306832,0.003498882301487,0.0,9.719117504130624e-05,A,no_neighbour,tier2,lac,0.8471736293799147,False
