eval_set,tier1_share,cascade_expected_median_ms,tier2_only_median_ms,delta_ms,median_latency_saving
benchmark45,0.088889,143.5356,156.4024,-12.8669,0.0822679191623658
deployment175,0.188571,127.945,156.4024,-28.4575,0.18195053272839803
