platform,commit,run_id,ticket,quantity,recorded_value,golden_value,delta,delta_over_tolerance
container_8b,3885393,none (local container),adv_08,rag_similarity,0.6123799085617065,0.6123800277709961,-1.1921e-07,2.6040e-03
container_8b,3885393,none (local container),adv_08,tier1_confidence,0.3182984770932253,0.3182984770932253,0.0000e+00,0.0000e+00
runner_91a5b38,91a5b38,35799173134,adv_08,rag_similarity,0.6123793125152588,0.6123800277709961,-7.1526e-07,1.5624e-02
runner_91a5b38,91a5b38,35799173134,adv_08,tier1_confidence,0.31818032412549274,0.3182984770932253,-1.1815e-04,1.1815e+08
