arm,tier,alpha,n_calibration,n_test,degenerate,coverage,coverage_gap,calibration_sd,test_sampling_sd,combined_sd,combined_band_2sd,gap_outside_combined_band,calibration_only_band_2sd,mean_set_size,singleton_rate,empty_rate,score_function,post_hoc
original,tier1,0.2,1327,286,False,0.8006993006993007,0.0006993006993006,0.0109805610249205,0.0236524958395633,0.0260770642493085,0.052154128498617,False,0.0219611220498411,3.5244755244755246,0.0419580419580419,0.0,lac,False
original,tier1,0.1,1327,286,False,0.8951048951048951,-0.0048951048951049,0.0082354207686904,0.0177393718796724,0.0195577981869813,0.0391155963739627,False,0.0164708415373808,4.975524475524476,0.0209790209790209,0.0,lac,False
original,tier1,0.05,1327,286,False,0.9545454545454546,0.0045454545454546,0.0059828944813762,0.0128873548908965,0.0142084109758691,0.0284168219517382,False,0.0119657889627525,6.447552447552448,0.0104895104895104,0.0,lac,False
original,tier2,0.2,1327,286,False,0.8111888111888111,0.011188811188811,0.0109805610249205,0.0236524958395633,0.0260770642493085,0.052154128498617,False,0.0219611220498411,3.5454545454545454,0.0419580419580419,0.0,lac,False
original,tier2,0.1,1327,286,False,0.8951048951048951,-0.0048951048951049,0.0082354207686904,0.0177393718796724,0.0195577981869813,0.0391155963739627,False,0.0164708415373808,4.835664335664336,0.0209790209790209,0.0,lac,False
original,tier2,0.05,1327,286,False,0.9545454545454546,0.0045454545454546,0.0059828944813762,0.0128873548908965,0.0142084109758691,0.0284168219517382,False,0.0119657889627525,6.653846153846154,0.0034965034965034,0.0,lac,False
paraphrased,tier1,0.2,1327,286,False,0.7482517482517482,-0.0517482517482518,0.0109805610249205,0.0236524958395633,0.0260770642493085,0.052154128498617,False,0.0219611220498411,3.6433566433566433,0.0,0.0,lac,False
paraphrased,tier1,0.1,1327,286,False,0.8741258741258742,-0.0258741258741258,0.0082354207686904,0.0177393718796724,0.0195577981869813,0.0391155963739627,False,0.0164708415373808,4.919580419580419,0.0,0.0,lac,False
paraphrased,tier1,0.05,1327,286,False,0.9545454545454546,0.0045454545454546,0.0059828944813762,0.0128873548908965,0.0142084109758691,0.0284168219517382,False,0.0119657889627525,6.856643356643357,0.0,0.0,lac,False
paraphrased,tier2,0.2,1327,286,False,0.7867132867132867,-0.0132867132867133,0.0109805610249205,0.0236524958395633,0.0260770642493085,0.052154128498617,False,0.0219611220498411,3.5489510489510487,0.0314685314685314,0.0,lac,False
paraphrased,tier2,0.1,1327,286,False,0.8951048951048951,-0.0048951048951049,0.0082354207686904,0.0177393718796724,0.0195577981869813,0.0391155963739627,False,0.0164708415373808,4.979020979020979,0.0069930069930069,0.0,lac,False
paraphrased,tier2,0.05,1327,286,False,0.9545454545454546,0.0045454545454546,0.0059828944813762,0.0128873548908965,0.0142084109758691,0.0284168219517382,False,0.0119657889627525,6.744755244755245,0.0,0.0,lac,False
