tier,representation,n_tickets,n_bins_non_empty,expected_calibration_error,mean_confidence,observed_accuracy
1,TF-IDF + LogReg,500,3,0.11221390599999996,0.8877860940000001,1.0
2,BGE-base-en-v1.5 + LogReg,500,5,0.09924780999999998,0.9007521900000001,1.0
