space,tier,alpha,weighting,domain_auc,n_eff,coverage_benchmark,coverage_gap,noise_band_2sd,gap_outside_band,delta_vs_unweighted,delta_outside_band,recovery_fraction_post_hoc,degenerate_reason,is_primary,post_hoc,blocked
bge,tier1,0.05,weighted,0.9907918367346938,145.01498865599234,0.9555555555555556,0.0055555555555556,0.0329501788419165,False,0.1111111111111111,True,1.0526315789473693,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier1,0.05,weighted,0.9907918367346938,153.93147878786266,0.9555555555555556,0.0055555555555556,0.0329501788419165,False,0.1111111111111111,True,1.0526315789473693,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier1,0.05,weighted,0.9907918367346938,148.67533802286124,0.9555555555555556,0.0055555555555556,0.0329501788419165,False,0.1111111111111111,True,1.0526315789473693,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier1,0.1,weighted,0.9907918367346938,145.01498865599234,0.7333333333333333,-0.1666666666666667,0.0453557367611072,True,0.0666666666666666,True,0.2857142857142856,domain AUC 0.9908 >= 0.95,True,False,True
bge,tier1,0.1,weighted,0.9907918367346938,153.93147878786266,0.7333333333333333,-0.1666666666666667,0.0453557367611072,True,0.0666666666666666,True,0.2857142857142856,domain AUC 0.9908 >= 0.95,True,False,True
bge,tier1,0.1,weighted,0.9907918367346938,148.67533802286124,0.7333333333333333,-0.1666666666666667,0.0453557367611072,True,0.0666666666666666,True,0.2857142857142856,domain AUC 0.9908 >= 0.95,True,False,True
bge,tier1,0.2,weighted,0.9907918367346938,145.01498865599234,0.6222222222222222,-0.1777777777777778,0.0604743156814763,True,0.0222222222222222,False,0.1111111111111112,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier1,0.2,weighted,0.9907918367346938,153.93147878786266,0.6222222222222222,-0.1777777777777778,0.0604743156814763,True,0.0222222222222222,False,0.1111111111111112,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier1,0.2,weighted,0.9907918367346938,148.67533802286124,0.6222222222222222,-0.1777777777777778,0.0604743156814763,True,0.0222222222222222,False,0.1111111111111112,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier2,0.05,weighted,0.9907918367346938,145.01498865599234,0.9777777777777776,0.0277777777777777,0.0329501788419165,False,0.0,False,0.0,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier2,0.05,weighted,0.9907918367346938,153.93147878786266,0.9777777777777776,0.0277777777777777,0.0329501788419165,False,0.0,False,0.0,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier2,0.05,weighted,0.9907918367346938,148.67533802286124,0.9777777777777776,0.0277777777777777,0.0329501788419165,False,0.0,False,0.0,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier2,0.1,weighted,0.9907918367346938,145.01498865599234,0.9111111111111112,0.011111111111111,0.0453557367611072,False,0.0222222222222222,False,1.99999999999999,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier2,0.1,weighted,0.9907918367346938,153.93147878786266,0.9333333333333332,0.0333333333333333,0.0453557367611072,False,0.0444444444444445,False,3.99999999999998,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier2,0.1,weighted,0.9907918367346938,148.67533802286124,0.9111111111111112,0.011111111111111,0.0453557367611072,False,0.0222222222222222,False,1.99999999999999,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier2,0.2,weighted,0.9907918367346938,145.01498865599234,0.7555555555555555,-0.0444444444444445,0.0604743156814763,False,0.0,False,0.0,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier2,0.2,weighted,0.9907918367346938,153.93147878786266,0.7555555555555555,-0.0444444444444445,0.0604743156814763,False,0.0,False,0.0,domain AUC 0.9908 >= 0.95,False,False,True
bge,tier2,0.2,weighted,0.9907918367346938,148.67533802286124,0.7555555555555555,-0.0444444444444445,0.0604743156814763,False,0.0,False,0.0,domain AUC 0.9908 >= 0.95,False,False,True
tfidf,tier1,0.05,weighted,0.929469387755102,124.4368300738608,0.8666666666666667,-0.0833333333333332,0.0329501788419165,True,0.0222222222222222,False,0.210526315789474,,False,False,False
tfidf,tier1,0.05,weighted,0.929469387755102,129.13203289725715,0.8666666666666667,-0.0833333333333332,0.0329501788419165,True,0.0222222222222222,False,0.210526315789474,,False,False,False
tfidf,tier1,0.05,weighted,0.929469387755102,125.30097049242818,0.8666666666666667,-0.0833333333333332,0.0329501788419165,True,0.0222222222222222,False,0.210526315789474,,False,False,False
tfidf,tier1,0.1,weighted,0.929469387755102,124.4368300738608,0.7777777777777778,-0.1222222222222222,0.0453557367611072,True,0.1111111111111111,True,0.4761904761904763,,True,False,False
tfidf,tier1,0.1,weighted,0.929469387755102,129.13203289725715,0.7777777777777778,-0.1222222222222222,0.0453557367611072,True,0.1111111111111111,True,0.4761904761904763,,True,False,False
tfidf,tier1,0.1,weighted,0.929469387755102,125.30097049242818,0.7777777777777778,-0.1222222222222222,0.0453557367611072,True,0.1111111111111111,True,0.4761904761904763,,True,False,False
tfidf,tier1,0.2,weighted,0.929469387755102,124.4368300738608,0.6,-0.2,0.0604743156814763,True,0.0,False,0.0,weighted and unweighted sets identical,False,False,True
tfidf,tier1,0.2,weighted,0.929469387755102,129.13203289725715,0.6,-0.2,0.0604743156814763,True,0.0,False,0.0,weighted and unweighted sets identical,False,False,True
tfidf,tier1,0.2,weighted,0.929469387755102,125.30097049242818,0.6222222222222222,-0.1777777777777778,0.0604743156814763,True,0.0222222222222222,False,0.1111111111111112,,False,False,False
tfidf,tier2,0.05,weighted,0.929469387755102,124.4368300738608,0.9333333333333332,-0.0166666666666666,0.0329501788419165,False,-0.0444444444444444,True,-1.5999999999999976,,False,False,False
tfidf,tier2,0.05,weighted,0.929469387755102,129.13203289725715,0.9333333333333332,-0.0166666666666666,0.0329501788419165,False,-0.0444444444444444,True,-1.5999999999999976,,False,False,False
tfidf,tier2,0.05,weighted,0.929469387755102,125.30097049242818,0.9333333333333332,-0.0166666666666666,0.0329501788419165,False,-0.0444444444444444,True,-1.5999999999999976,,False,False,False
tfidf,tier2,0.1,weighted,0.929469387755102,124.4368300738608,0.8444444444444444,-0.0555555555555555,0.0453557367611072,True,-0.0444444444444444,False,-3.99999999999997,,False,False,False
tfidf,tier2,0.1,weighted,0.929469387755102,129.13203289725715,0.8666666666666667,-0.0333333333333333,0.0453557367611072,False,-0.0222222222222221,False,-1.99999999999998,,False,False,False
tfidf,tier2,0.1,weighted,0.929469387755102,125.30097049242818,0.8444444444444444,-0.0555555555555555,0.0453557367611072,True,-0.0444444444444444,False,-3.99999999999997,,False,False,False
tfidf,tier2,0.2,weighted,0.929469387755102,124.4368300738608,0.7333333333333333,-0.0666666666666667,0.0604743156814763,True,-0.0222222222222222,False,-0.5,,False,False,False
tfidf,tier2,0.2,weighted,0.929469387755102,129.13203289725715,0.7333333333333333,-0.0666666666666667,0.0604743156814763,True,-0.0222222222222222,False,-0.5,,False,False,False
tfidf,tier2,0.2,weighted,0.929469387755102,125.30097049242818,0.7333333333333333,-0.0666666666666667,0.0604743156814763,True,-0.0222222222222222,False,-0.5,,False,False,False
,tier1,0.05,unweighted,,175.0,0.8444444444444444,-0.1055555555555555,0.0329501788419165,True,0.0,False,0.0,,False,False,False
,tier1,0.1,unweighted,,175.0,0.6666666666666666,-0.2333333333333334,0.0453557367611072,True,0.0,False,0.0,,True,False,False
,tier1,0.2,unweighted,,175.0,0.6,-0.2,0.0604743156814763,True,0.0,False,0.0,,False,False,False
,tier2,0.05,unweighted,,175.0,0.9777777777777776,0.0277777777777777,0.0329501788419165,False,0.0,False,0.0,,False,False,False
,tier2,0.1,unweighted,,175.0,0.8888888888888888,-0.0111111111111111,0.0453557367611072,False,0.0,False,0.0,,False,False,False
,tier2,0.2,unweighted,,175.0,0.7555555555555555,-0.0444444444444445,0.0604743156814763,False,0.0,False,0.0,,False,False,False
